Field	Type	Null	Key	Default	Extra
id	binary(16)	NO	PRI	NULL	
archived_at	datetime(6)	YES		NULL	
archived_by	binary(16)	YES		NULL	
comments	varchar(255)	YES		NULL	
content_type	varchar(255)	NO		NULL	
error_message	varchar(255)	YES		NULL	
file_name	varchar(255)	NO		NULL	
file_path	varchar(255)	YES		NULL	
is_archived	tinyint(1)	NO		0	
processing_status	enum('PROCESSING','UPLOADING','UPLOAD_COMPLETE','UPLOAD_FAILED')	NO		NULL	
rejection_reason	varchar(255)	YES		NULL	
status	enum('APPROVED','ERROR','PENDING','PROCESSING','REJECTED')	YES		NULL	
upload_date	datetime(6)	NO		NULL	
user_id	binary(16)	NO		NULL	
validated_at	datetime(6)	YES		NULL	
validated_by	binary(16)	YES		NULL	
version	int	YES		NULL	
document_type_id	binary(16)	YES	MUL	NULL	
