Field	Type	Null	Key	Default	Extra
id	binary(16)	NO	PRI	NULL	
birth_date	date	YES		NULL	
country	varchar(255)	YES		NULL	
created_at	datetime(6)	NO		NULL	
cuit	varchar(255)	YES	UNI	NULL	
direccion	varchar(255)	YES		NULL	
dni	varchar(255)	NO	UNI	NULL	
email	varchar(255)	NO	UNI	NULL	
first_name	varchar(255)	NO		NULL	
last_name	varchar(255)	NO		NULL	
legal_address	varchar(255)	YES		NULL	
municipality	varchar(255)	YES		NULL	
password	varchar(255)	NO		NULL	
profile_image_url	varchar(500)	YES		NULL	
province	varchar(255)	YES		NULL	
residential_address	varchar(255)	YES		NULL	
status	enum('ACTIVE','BLOCKED','EXPIRED','INACTIVE','LOCKED')	NO		NULL	
telefono	varchar(255)	YES		NULL	
username	varchar(255)	NO	UNI	NULL	
